group,delivery_method,date,total_riders,total_deliver
group_3,GENERAL_BICYCLES,day_05_24_,569 ,"2,901 "
group_3,KICKBOARD,day_05_24_,172 ,"1,257 "
group_3,PAS_BICYCLES,day_05_24_,"1,679 ","12,496 "
group_3,THROTTLE_BICYCLES,day_05_24_,"1,030 ","8,523 "
group_3,WALK,day_05_24_,"1,583 ","8,641 "
group_2,BIKE,day_05_25_,"1,610 ","13,923 "
group_2,CAR,day_05_25_,167 ,465 
group_2,GENERAL_BICYCLES,day_05_25_,75 ,224 
group_2,KICKBOARD,day_05_25_,29 ,88 
group_2,PAS_BICYCLES,day_05_25_,213 ,910 
group_2,THROTTLE_BICYCLES,day_05_25_,113 ,458 
group_2,WALK,day_05_25_,167 ,532 
group_3,BIKE,day_05_25_,"22,226 ","311,195 "
group_3,CAR,day_05_25_,"1,224 ","4,633 "
group_3,GENERAL_BICYCLES,day_05_25_,567 ,"3,247 "
group_3,KICKBOARD,day_05_25_,186 ,"1,266 "
group_3,PAS_BICYCLES,day_05_25_,"1,732 ","13,300 "
group_3,THROTTLE_BICYCLES,day_05_25_,"1,010 ","8,754 "
group_3,WALK,day_05_25_,"1,586 ","9,335 "
group_2,BIKE,day_05_26_,"1,871 ","17,567 "
group_2,CAR,day_05_26_,211 ,635 
group_2,GENERAL_BICYCLES,day_05_26_,102 ,393 
group_2,KICKBOARD,day_05_26_,29 ,184 
group_2,PAS_BICYCLES,day_05_26_,269 ,"1,541 "
group_2,THROTTLE_BICYCLES,day_05_26_,138 ,800 
group_2,WALK,day_05_26_,176 ,685 
group_3,BIKE,day_05_26_,"23,085 ","348,667 "
group_3,CAR,day_05_26_,"1,417 ","6,255 "
group_3,GENERAL_BICYCLES,day_05_26_,623 ,"4,350 "
group_3,KICKBOARD,day_05_26_,187 ,"1,560 "
group_3,PAS_BICYCLES,day_05_26_,"1,909 ","17,839 "
group_3,THROTTLE_BICYCLES,day_05_26_,"1,114 ","11,258 "
group_3,WALK,day_05_26_,"1,670 ","11,072 "
group_2,BIKE,day_05_27_,"2,105 ","25,603 "
group_2,CAR,day_05_27_,530 ,"2,628 "
group_2,GENERAL_BICYCLES,day_05_27_,125 ,694 
group_2,KICKBOARD,day_05_27_,34 ,116 
group_2,PAS_BICYCLES,day_05_27_,311 ,"1,730 "
group_2,THROTTLE_BICYCLES,day_05_27_,114 ,526 
group_2,WALK,day_05_27_,290 ,"1,591 "
group_3,BIKE,day_05_27_,"20,773 ","410,379 "
group_3,CAR,day_05_27_,"1,843 ","14,940 "
group_3,GENERAL_BICYCLES,day_05_27_,505 ,"4,982 "
group_3,KICKBOARD,day_05_27_,132 ,"1,196 "
group_3,PAS_BICYCLES,day_05_27_,"1,312 ","14,416 "
group_3,THROTTLE_BICYCLES,day_05_27_,687 ,"8,237 "
group_3,WALK,day_05_27_,"1,469 ","15,210 "
group_2,BIKE,day_05_28_,"2,071 ","28,081 "
group_2,CAR,day_05_28_,680 ,"3,993 "
group_2,GENERAL_BICYCLES,day_05_28_,144 ,790 
group_2,KICKBOARD,day_05_28_,26 ,109 
group_2,PAS_BICYCLES,day_05_28_,320 ,"2,101 "
group_2,THROTTLE_BICYCLES,day_05_28_,95 ,619 
group_2,WALK,day_05_28_,323 ,"1,909 "
group_3,BIKE,day_05_28_,"19,432 ","414,002 "
group_3,CAR,day_05_28_,"1,904 ","17,431 "
group_3,GENERAL_BICYCLES,day_05_28_,453 ,"5,306 "
group_3,KICKBOARD,day_05_28_,96 ,"1,101 "
group_3,PAS_BICYCLES,day_05_28_,"1,054 ","14,391 "
group_3,THROTTLE_BICYCLES,day_05_28_,571 ,"8,031 "
group_3,WALK,day_05_28_,"1,386 ","14,613 "
